app_id,name,security_level,app_type,required_access_level,network_segment,is_cloud_based,data_classification,total_access_attempts
APP-0001,Email System,high,desktop,3,secure_segment_1,False,restricted,14
APP-0002,File Share,critical,desktop,4,secure_segment_2,False,confidential,34
APP-0003,CRM Platform,critical,web,4,secure_segment_1,False,confidential,5
APP-0004,HR Portal,critical,mobile,4,secure_segment_2,False,confidential,4
APP-0005,Financial System,critical,desktop,4,secure_segment_1,True,confidential,4
APP-0006,Project Management,critical,cloud,4,secure_segment_3,True,confidential,7
APP-0007,Code Repository,high,desktop,3,secure_segment_3,True,restricted,5
APP-0008,Customer Database,critical,cloud,4,secure_segment_3,False,confidential,2
APP-0009,Analytics Dashboard,critical,cloud,4,secure_segment_1,True,confidential,33
APP-0010,Video Conferencing,low,desktop,1,general_segment_4,True,public,7
